frame,id,real_world_x,real_world_y,width,real_width
235,14,-18.813662611985993,3.316105964732992,45.603607177734375,0.9949092485478339
236,14,-18.883515668108537,3.420147570426934,53.72767639160156,1.150907732181827
237,14,-18.727378668260815,3.3959870508613403,65.19473648071289,1.3759257948401442
238,14,-18.583721860649955,3.3705348835898477,75.42314529418945,1.5621340156728578
239,14,-18.52730129815538,3.4266038471429,88.85498428344727,1.814445240468061
240,14,-17.73454962917414,2.977554958883581,101.59470748901367,2.037868131946273
241,14,-16.986389325547584,2.551739558371198,114.07416915893555,2.2314292312477737
242,14,-17.680774115089694,3.1015375196525663,124.62216567993164,2.4145133236512097
243,14,-18.085995450806728,3.4510674782667397,134.3126449584961,2.563356817885946
244,14,-17.405161714886894,3.044895866076671,143.60644912719727,2.7225382401258273
245,14,-16.531674983962027,2.485646982890718,154.55589294433594,2.9233855406420566
246,14,-16.141648535162883,2.2685005568406766,164.36992263793945,3.088661701597838
247,14,-16.018055383087777,2.2531476291367727,171.87611389160156,3.2369297246831295
248,14,-15.932390339906814,2.27090076985325,185.8110809326172,3.4990318191918637
249,14,-15.837884642954963,2.2982667267015464,196.80848693847656,3.7016033429876054
250,14,-15.78220702159104,2.3351754140765255,206.6271743774414,3.8818685912432414
251,14,-15.667645790396804,2.307881250336617,214.09616088867188,3.9973956031854185
252,14,-15.629084024049703,2.326591873192501,220.59429931640625,4.129349624546815
253,14,-15.523622290478077,2.320274801521592,230.45571899414062,4.290756586981865
254,14,-15.442111544802975,2.3400879879428134,249.18154907226562,4.674972540976608
255,14,-15.441237773982904,2.411169269435482,254.6374053955078,4.736427621649911
256,14,-15.588215249007204,2.5759799290521896,260.24510192871094,4.822793490521002
257,14,-15.774754100058004,2.7496710238842104,267.8749237060547,4.956176716311325
258,14,-16.244100556458527,3.158964301536553,276.3252868652344,5.105358428497135
259,14,-16.23075681850477,3.2611055639316926,294.5964660644531,5.43067355865779
260,14,-15.609219922893514,2.888965094178585,305.3751754760742,5.618560635105992
261,14,-15.214126000891836,2.653759531559162,313.1722869873047,5.755352644504789
262,14,-15.24773883759988,2.7494246356850214,321.6493377685547,5.872351561167331
263,14,-15.040250062378764,2.688595007752328,334.2370834350586,6.078680840237408
264,14,-14.768453359564257,2.5735813702171293,342.73301696777344,6.217366097318862
265,14,-14.61799955466917,2.552384540080928,349.58740997314453,6.3623749561840235
